index,id,menuCommandString,menu_en,menu_ja,extendscript,applescript,jxa,minVersion,maxVersion
1,menuCommandString_1,new,File > New…,ファイル > 新規...,app.executeMenuCommand('new');,"execute menu command menu command string ""new""",app.executeMenuCommand({menuCommandString: 'new'});,16,99
2,menuCommandString_2,newFromTemplate,File > New from Template…,ファイル > テンプレートから新規...,app.executeMenuCommand('newFromTemplate');,"execute menu command menu command string ""newFromTemplate""",app.executeMenuCommand({menuCommandString: 'newFromTemplate'});,16,99
3,menuCommandString_3,open,File > Open…,ファイル > 開く...,app.executeMenuCommand('open');,"execute menu command menu command string ""open""",app.executeMenuCommand({menuCommandString: 'open'});,16,99
4,menuCommandString_4,Adobe Bridge Browse,File > Browse in Bridge…,ファイル > Bridge で参照...,app.executeMenuCommand('Adobe Bridge Browse');,"execute menu command menu command string ""Adobe Bridge Browse""",app.executeMenuCommand({menuCommandString: 'Adobe Bridge Browse'});,16,99
5,menuCommandString_5,close,File > Close,ファイル > 閉じる,app.executeMenuCommand('close');,"execute menu command menu command string ""close""",app.executeMenuCommand({menuCommandString: 'close'});,16,99
6,menuCommandString_614,closeAll,File > Close All,ファイル > すべてを閉じる,app.executeMenuCommand('closeAll'),"execute menu command menu command string ""closeAll""",app.executeMenuCommand({menuCommandString: 'closeAll'});,29.4,99.0
7,menuCommandString_6,save,File > Save,ファイル > 保存,app.executeMenuCommand('save');,"execute menu command menu command string ""save""",app.executeMenuCommand({menuCommandString: 'save'});,16,99
8,menuCommandString_7,saveas,File > Save As…,ファイル > 別名で保存...,app.executeMenuCommand('saveas');,"execute menu command menu command string ""saveas""",app.executeMenuCommand({menuCommandString: 'saveas'});,16,99
9,menuCommandString_8,saveacopy,File > Save a Copy…,ファイル > 複製を保存...,app.executeMenuCommand('saveacopy');,"execute menu command menu command string ""saveacopy""",app.executeMenuCommand({menuCommandString: 'saveacopy'});,16,99
10,menuCommandString_9,saveastemplate,File > Save as Template…,ファイル > テンプレートとして保存...,app.executeMenuCommand('saveastemplate');,"execute menu command menu command string ""saveastemplate""",app.executeMenuCommand({menuCommandString: 'saveastemplate'});,16,99
11,menuCommandString_10,Adobe AI Save For Web,File > Save for Web…,ファイル > 書き出し > Web 用に保存 (従来)...,app.executeMenuCommand('Adobe AI Save For Web');,"execute menu command menu command string ""Adobe AI Save For Web""",app.executeMenuCommand({menuCommandString: 'Adobe AI Save For Web'});,16,19.9
12,menuCommandString_11,Adobe AI Save Selected Slices,File > Save Selected Slices…,ファイル > 選択したスライスを保存...,app.executeMenuCommand('Adobe AI Save Selected Slices');,"execute menu command menu command string ""Adobe AI Save Selected Slices""",app.executeMenuCommand({menuCommandString: 'Adobe AI Save Selected Slices'});,16,99
13,menuCommandString_12,revert,File > Revert,ファイル > 復帰,app.executeMenuCommand('revert');,"execute menu command menu command string ""revert""",app.executeMenuCommand({menuCommandString: 'revert'});,16,99
14,menuCommandString_13,Search Adobe Stock,File > Search Adobe Stock…,ファイル > Adobe Stock を検索...,app.executeMenuCommand('Search Adobe Stock');,"execute menu command menu command string ""Search Adobe Stock""",app.executeMenuCommand({menuCommandString: 'Search Adobe Stock'});,19,99
15,menuCommandString_14,AI Place,File > Place…,ファイル > 配置...,app.executeMenuCommand('AI Place');,"execute menu command menu command string ""AI Place""",app.executeMenuCommand({menuCommandString: 'AI Place'});,16,99
16,menuCommandString_15,export,File > Export…,ファイル > 書き出し...,app.executeMenuCommand('export');,"execute menu command menu command string ""export""",app.executeMenuCommand({menuCommandString: 'export'});,16,19.9
17,menuCommandString_567,Generate Modal File Menu,File > Generate Vectors (Beta),ファイル > 生成ベクター (Beta),app.executeMenuCommand('Generate Modal File Menu ');,"execute menu command menu command string ""Generate Modal File Menu """,app.executeMenuCommand({menuCommandString: 'Generate Modal File Menu '});,28.6,29.4
18,menuCommandString_590,Generate Modal File Menu,File > Generate Vectors,ファイル > ベクターを生成,app.executeMenuCommand('Generate Modal File Menu ');,"execute menu command menu command string ""Generate Modal File Menu """,app.executeMenuCommand({menuCommandString: 'Generate Modal File Menu '});,29.5,29.8
19,menuCommandString_538,Invite People,File > Invite to Edit…,ファイル > 編集に招待...,app.executeMenuCommand('Invite People');,"execute menu command menu command string ""Invite People""",app.executeMenuCommand({menuCommandString: 'Invite People'});,27.0,99.0
20,menuCommandString_539,Share For Review,File > Share For Review (Beta)…,ファイル > レビュー用に共有 (ベータ版)...,app.executeMenuCommand('Share For Review');,"execute menu command menu command string ""Share For Review""",app.executeMenuCommand({menuCommandString: 'Share For Review'});,27.0,27.3
21,menuCommandString_596,Share For Review,File > Share for Review...,ファイル > レビュー用に共有...,app.executeMenuCommand('Share For Review');,"execute menu command menu command string ""Share For Review""",app.executeMenuCommand({menuCommandString: 'Share For Review'});,27.4,99.0
22,menuCommandString_18,exportForScreens,File > Export > Export for Screens…,ファイル > 書き出し > スクリーン用に書き出し...,app.executeMenuCommand('exportForScreens');,"execute menu command menu command string ""exportForScreens""",app.executeMenuCommand({menuCommandString: 'exportForScreens'});,20,99
23,menuCommandString_598,export,File > Export > Export As...,ファイル > 書き出し > 書き出し形式...,app.executeMenuCommand('export');,"execute menu command menu command string ""export""",app.executeMenuCommand({menuCommandString: 'export'});,20.0,99.0
24,menuCommandString_599,Adobe AI Save For Web,File > Export > Save for Web (Legacy)...,ファイル > 書き出し > Web 用に保存 (従来)...,app.executeMenuCommand('Adobe AI Save For Web');,"execute menu command menu command string ""Adobe AI Save For Web""",app.executeMenuCommand({menuCommandString: 'Adobe AI Save For Web'});,20,99.0
25,menuCommandString_16,exportSelection,File > Export Selection…,ファイル > 選択範囲を書き出し...,app.executeMenuCommand('exportSelection');,"execute menu command menu command string ""exportSelection""",app.executeMenuCommand({menuCommandString: 'exportSelection'});,20,99
26,menuCommandString_17,Package Menu Item,File > Package…,ファイル > パッケージ...,app.executeMenuCommand('Package Menu Item');,"execute menu command menu command string ""Package Menu Item""",app.executeMenuCommand({menuCommandString: 'Package Menu Item'});,16,99
27,menuCommandString_19,ai_browse_for_script,File > Scripts > Other Script…,ファイル > スクリプト > その他のスクリプト...,app.executeMenuCommand('ai_browse_for_script');,"execute menu command menu command string ""ai_browse_for_script""",app.executeMenuCommand({menuCommandString: 'ai_browse_for_script'});,16,99
28,menuCommandString_20,document,File > Document Setup…,ファイル > ドキュメント設定...,app.executeMenuCommand('document');,"execute menu command menu command string ""document""",app.executeMenuCommand({menuCommandString: 'document'});,16,99
29,menuCommandString_21,doc-color-cmyk,File > Document Color Mode > CMYK Color,ファイル > ドキュメントのカラーモード > CMYK カラー,app.executeMenuCommand('doc-color-cmyk');,"execute menu command menu command string ""doc-color-cmyk""",app.executeMenuCommand({menuCommandString: 'doc-color-cmyk'});,16,99
30,menuCommandString_22,doc-color-rgb,File > Document Color Mode > RGB Color,ファイル > ドキュメントのカラーモード > RGB カラー,app.executeMenuCommand('doc-color-rgb');,"execute menu command menu command string ""doc-color-rgb""",app.executeMenuCommand({menuCommandString: 'doc-color-rgb'});,16,99
31,menuCommandString_23,File Info,File > File Info…,ファイル > ファイル情報...,app.executeMenuCommand('File Info');,"execute menu command menu command string ""File Info""",app.executeMenuCommand({menuCommandString: 'File Info'});,16,99
32,menuCommandString_24,Print,File > Print…,ファイル > プリント...,app.executeMenuCommand('Print');,"execute menu command menu command string ""Print""",app.executeMenuCommand({menuCommandString: 'Print'});,16,99
33,menuCommandString_25,quit,File > Exit,ファイル > 終了,app.executeMenuCommand('quit');,"execute menu command menu command string ""quit""",app.executeMenuCommand({menuCommandString: 'quit'});,16,99
34,menuCommandString_26,quit,Illustrator > Exit,Illustrator > Illustrator を終了,app.executeMenuCommand('quit');,"execute menu command menu command string ""quit""",app.executeMenuCommand({menuCommandString: 'quit'});,16,99
35,menuCommandString_27,undo,Edit > Undo,編集 > 取り消し,app.executeMenuCommand('undo');,"execute menu command menu command string ""undo""",app.executeMenuCommand({menuCommandString: 'undo'});,16,99
36,menuCommandString_28,redo,Edit > Redo,編集 > やり直し,app.executeMenuCommand('redo');,"execute menu command menu command string ""redo""",app.executeMenuCommand({menuCommandString: 'redo'});,16,99
37,menuCommandString_29,cut,Edit > Cut,編集 > カット,app.executeMenuCommand('cut');,"execute menu command menu command string ""cut""",app.executeMenuCommand({menuCommandString: 'cut'});,16,99
38,menuCommandString_30,copy,Edit > Copy,編集 > コピー,app.executeMenuCommand('copy');,"execute menu command menu command string ""copy""",app.executeMenuCommand({menuCommandString: 'copy'});,16,99
39,menuCommandString_31,paste,Edit > Paste,編集 > ペースト,app.executeMenuCommand('paste');,"execute menu command menu command string ""paste""",app.executeMenuCommand({menuCommandString: 'paste'});,16,99
40,menuCommandString_32,pasteFront,Edit > Paste in Front,編集 > 前面へペースト,app.executeMenuCommand('pasteFront');,"execute menu command menu command string ""pasteFront""",app.executeMenuCommand({menuCommandString: 'pasteFront'});,16,99
41,menuCommandString_33,pasteBack,Edit > Paste in Back,編集 > 背面へペースト,app.executeMenuCommand('pasteBack');,"execute menu command menu command string ""pasteBack""",app.executeMenuCommand({menuCommandString: 'pasteBack'});,16,99
42,menuCommandString_34,pasteInPlace,Edit > Paste in Place,編集 > 同じ位置にペースト,app.executeMenuCommand('pasteInPlace');,"execute menu command menu command string ""pasteInPlace""",app.executeMenuCommand({menuCommandString: 'pasteInPlace'});,16,99
43,menuCommandString_35,pasteInAllArtboard,Edit > Paste on All Artboards,編集 > すべてのアートボードにペースト,app.executeMenuCommand('pasteInAllArtboard');,"execute menu command menu command string ""pasteInAllArtboard""",app.executeMenuCommand({menuCommandString: 'pasteInAllArtboard'});,16,99
44,menuCommandString_498,pasteWithoutFormatting,Edit > Paste without Formatting,編集 > 書式なしでペースト,app.executeMenuCommand('pasteWithoutFormatting');,"execute menu command menu command string ""pasteWithoutFormatting""",app.executeMenuCommand({menuCommandString: 'pasteWithoutFormatting'});,25.3,99
45,menuCommandString_36,clear,Edit > Clear,編集 > 消去,app.executeMenuCommand('clear');,"execute menu command menu command string ""clear""",app.executeMenuCommand({menuCommandString: 'clear'});,16,99
46,menuCommandString_37,Find and Replace,Edit > Find and Replace…,編集 > 検索と置換...,app.executeMenuCommand('Find and Replace');,"execute menu command menu command string ""Find and Replace""",app.executeMenuCommand({menuCommandString: 'Find and Replace'});,16,99
47,menuCommandString_38,Find Next,Edit > Find Next,編集 > 次を検索,app.executeMenuCommand('Find Next');,"execute menu command menu command string ""Find Next""",app.executeMenuCommand({menuCommandString: 'Find Next'});,16,99
48,menuCommandString_39,Check Spelling,Edit > Check Spelling…,編集 > スペルチェック,app.executeMenuCommand('Check Spelling');,"execute menu command menu command string ""Check Spelling""",app.executeMenuCommand({menuCommandString: 'Check Spelling'});,16,24.9
49,menuCommandString_540,Auto Spell Check,Edit > Spelling > Auto Spellcheck,編集 > スペルチェック > 自動スペルチェック,app.executeMenuCommand('Auto Spell Check');,"execute menu command menu command string ""Auto Spell Check""",app.executeMenuCommand({menuCommandString: 'Auto Spell Check'});,24.0,99.0
50,menuCommandString_541,Check Spelling,Edit > Spelling > Check Spelling…,編集 > スペルチェック > スペルチェック...,app.executeMenuCommand('Check Spelling');,"execute menu command menu command string ""Check Spelling""",app.executeMenuCommand({menuCommandString: 'Check Spelling'});,24.0,99.0
51,menuCommandString_40,Edit Custom Dictionary...,Edit > Edit Custom Dictionary…,編集 > カスタム辞書を編集...,app.executeMenuCommand('Edit Custom Dictionary...');,"execute menu command menu command string ""Edit Custom Dictionary...""",app.executeMenuCommand({menuCommandString: 'Edit Custom Dictionary...'});,16,99
52,menuCommandString_41,Recolor Art Dialog,Edit > Edit Colors > Recolor Artwork…,編集 > カラーを編集 > オブジェクトを再配色...,app.executeMenuCommand('Recolor Art Dialog');,"execute menu command menu command string ""Recolor Art Dialog""",app.executeMenuCommand({menuCommandString: 'Recolor Art Dialog'});,16,99
53,menuCommandString_557,Generative Recolor Art Dialog,Edit > Edit Colors > Generative Recolor,編集 > カラーを編集 > 生成再配色,app.executeMenuCommand('Generative Recolor Art Dialog');,"execute menu command menu command string ""Generative Recolor Art Dialog""",app.executeMenuCommand({menuCommandString: 'Generative Recolor Art Dialog'});,27.6,99.0
54,menuCommandString_42,Adjust3,Edit > Edit Colors > Adjust Color Balance…,編集 > カラーを編集 > カラーバランス調整...,app.executeMenuCommand('Adjust3');,"execute menu command menu command string ""Adjust3""",app.executeMenuCommand({menuCommandString: 'Adjust3'});,16,99
55,menuCommandString_43,Colors3,Edit > Edit Colors > Blend Front to Back,編集 > カラーを編集 > 前後にブレンド,app.executeMenuCommand('Colors3');,"execute menu command menu command string ""Colors3""",app.executeMenuCommand({menuCommandString: 'Colors3'});,16,99
56,menuCommandString_44,Colors4,Edit > Edit Colors > Blend Horizontally,編集 > カラーを編集 > 左右にブレンド,app.executeMenuCommand('Colors4');,"execute menu command menu command string ""Colors4""",app.executeMenuCommand({menuCommandString: 'Colors4'});,16,99
57,menuCommandString_45,Colors5,Edit > Edit Colors > Blend Vertically,編集 > カラーを編集 > 上下にブレンド,app.executeMenuCommand('Colors5');,"execute menu command menu command string ""Colors5""",app.executeMenuCommand({menuCommandString: 'Colors5'});,16,99
58,menuCommandString_46,Colors8,Edit > Edit Colors > Convert to CMYK,編集 > カラーを編集 > CMYK に変換,app.executeMenuCommand('Colors8');,"execute menu command menu command string ""Colors8""",app.executeMenuCommand({menuCommandString: 'Colors8'});,16,99
59,menuCommandString_47,Colors7,Edit > Edit Colors > Convert to Grayscale,編集 > カラーを編集 > グレースケールに変換,app.executeMenuCommand('Colors7');,"execute menu command menu command string ""Colors7""",app.executeMenuCommand({menuCommandString: 'Colors7'});,16,99
60,menuCommandString_48,Colors9,Edit > Edit Colors > Convert to RGB,編集 > カラーを編集 > RGB に変換,app.executeMenuCommand('Colors9');,"execute menu command menu command string ""Colors9""",app.executeMenuCommand({menuCommandString: 'Colors9'});,16,99
61,menuCommandString_49,Colors6,Edit > Edit Colors > Invert Colors,編集 > カラーを編集 > カラー反転,app.executeMenuCommand('Colors6');,"execute menu command menu command string ""Colors6""",app.executeMenuCommand({menuCommandString: 'Colors6'});,16,99
62,menuCommandString_50,Overprint2,Edit > Edit Colors > Overprint Black…,編集 > カラーを編集 > オーバープリントブラック...,app.executeMenuCommand('Overprint2');,"execute menu command menu command string ""Overprint2""",app.executeMenuCommand({menuCommandString: 'Overprint2'});,16,99
63,menuCommandString_51,Saturate3,Edit > Edit Colors > Saturate…,編集 > カラーを編集 > 彩度調整...,app.executeMenuCommand('Saturate3');,"execute menu command menu command string ""Saturate3""",app.executeMenuCommand({menuCommandString: 'Saturate3'});,16,99
64,menuCommandString_52,EditOriginal Menu Item,Edit > Edit Original,編集 > オリジナルを編集,app.executeMenuCommand('EditOriginal Menu Item');,"execute menu command menu command string ""EditOriginal Menu Item""",app.executeMenuCommand({menuCommandString: 'EditOriginal Menu Item'});,16,99
65,menuCommandString_53,Transparency Presets,Edit > Transparency Flattener Presets…,編集 > 透明の分割・統合プリセット...,app.executeMenuCommand('Transparency Presets');,"execute menu command menu command string ""Transparency Presets""",app.executeMenuCommand({menuCommandString: 'Transparency Presets'});,16,99
66,menuCommandString_54,Print Presets,Edit > Print Presets…,編集 > プリントプリセット...,app.executeMenuCommand('Print Presets');,"execute menu command menu command string ""Print Presets""",app.executeMenuCommand({menuCommandString: 'Print Presets'});,16,99
67,menuCommandString_55,PDF Presets,Edit > Adobe PDF Presets…,編集 > Adobe PDF プリセット...,app.executeMenuCommand('PDF Presets');,"execute menu command menu command string ""PDF Presets""",app.executeMenuCommand({menuCommandString: 'PDF Presets'});,16,99
68,menuCommandString_56,SWFPresets,Edit > SWF Presets…,編集 > SWF プリセット...,app.executeMenuCommand('SWFPresets');,"execute menu command menu command string ""SWFPresets""",app.executeMenuCommand({menuCommandString: 'SWFPresets'});,16,25.9
69,menuCommandString_57,PerspectiveGridPresets,Edit > Perspective Grid Presets…,編集 > 遠近グリッドプリセット...,app.executeMenuCommand('PerspectiveGridPresets');,"execute menu command menu command string ""PerspectiveGridPresets""",app.executeMenuCommand({menuCommandString: 'PerspectiveGridPresets'});,16,99
70,menuCommandString_58,color,Edit > Color Settings…,編集 > カラー設定...,app.executeMenuCommand('color');,"execute menu command menu command string ""color""",app.executeMenuCommand({menuCommandString: 'color'});,16,99
71,menuCommandString_59,assignprofile,Edit > Assign Profile…,編集 > プロファイルの指定...,app.executeMenuCommand('assignprofile');,"execute menu command menu command string ""assignprofile""",app.executeMenuCommand({menuCommandString: 'assignprofile'});,16,99
72,menuCommandString_60,KBSC Menu Item,Edit > Keyboard Shortcuts…,編集 > キーボードショートカット...,app.executeMenuCommand('KBSC Menu Item');,"execute menu command menu command string ""KBSC Menu Item""",app.executeMenuCommand({menuCommandString: 'KBSC Menu Item'});,16,99
73,menuCommandString_61,preference,Edit > Preferences > General…,編集 > 環境設定 > 一般...,app.executeMenuCommand('preference');,"execute menu command menu command string ""preference""",app.executeMenuCommand({menuCommandString: 'preference'});,16,99
74,menuCommandString_62,selectPref,Edit > Preferences > Selection & Anchor Display…,編集 > 環境設定 > 選択範囲・アンカー表示...,app.executeMenuCommand('selectPref');,"execute menu command menu command string ""selectPref""",app.executeMenuCommand({menuCommandString: 'selectPref'});,16,99
75,menuCommandString_63,keyboardPref,Edit > Preferences > Type…,編集 > 環境設定 > テキスト...,app.executeMenuCommand('keyboardPref');,"execute menu command menu command string ""keyboardPref""",app.executeMenuCommand({menuCommandString: 'keyboardPref'});,16,99
76,menuCommandString_64,unitundoPref,Edit > Preferences > Units…,編集 > 環境設定 > 単位...,app.executeMenuCommand('unitundoPref');,"execute menu command menu command string ""unitundoPref""",app.executeMenuCommand({menuCommandString: 'unitundoPref'});,16,99
77,menuCommandString_65,guidegridPref,Edit > Preferences > Guides & Grid…,編集 > 環境設定 > ガイド・グリッド...,app.executeMenuCommand('guidegridPref');,"execute menu command menu command string ""guidegridPref""",app.executeMenuCommand({menuCommandString: 'guidegridPref'});,16,99
78,menuCommandString_66,snapPref,Edit > Preferences > Smart Guides…,編集 > 環境設定 > スマートガイド...,app.executeMenuCommand('snapPref');,"execute menu command menu command string ""snapPref""",app.executeMenuCommand({menuCommandString: 'snapPref'});,16,99
79,menuCommandString_67,slicePref,Edit > Preferences > Slices…,編集 > 環境設定 > スライス...,app.executeMenuCommand('slicePref');,"execute menu command menu command string ""slicePref""",app.executeMenuCommand({menuCommandString: 'slicePref'});,16,99
80,menuCommandString_68,hyphenPref,Edit > Preferences > Hyphenation…,編集 > 環境設定 > ハイフネーション...,app.executeMenuCommand('hyphenPref');,"execute menu command menu command string ""hyphenPref""",app.executeMenuCommand({menuCommandString: 'hyphenPref'});,16,99
81,menuCommandString_69,pluginPref,Edit > Preferences > Plug-ins & Scratch Disks…,編集 > 環境設定 > プラグイン・仮想記憶ディスク...,app.executeMenuCommand('pluginPref');,"execute menu command menu command string ""pluginPref""",app.executeMenuCommand({menuCommandString: 'pluginPref'});,16,99
82,menuCommandString_70,UIPref,Edit > Preferences > User Interface…,編集 > 環境設定 > ユーザーインターフェイス...,app.executeMenuCommand('UIPref');,"execute menu command menu command string ""UIPref""",app.executeMenuCommand({menuCommandString: 'UIPref'});,16,99
83,menuCommandString_71,GPUPerformancePref,Edit > Preferences > Performance…,編集 > 環境設定 > パフォーマンス...,app.executeMenuCommand('GPUPerformancePref');,"execute menu command menu command string ""GPUPerformancePref""",app.executeMenuCommand({menuCommandString: 'GPUPerformancePref'});,19,99
84,menuCommandString_72,FileClipboardPref,Edit > Preferences > File Handling & Clipboard…,編集 > 環境設定 > ファイル管理・クリップボード...,app.executeMenuCommand('FileClipboardPref');,"execute menu command menu command string ""FileClipboardPref""",app.executeMenuCommand({menuCommandString: 'FileClipboardPref'});,16,24.9
85,menuCommandString_565,FilePref,Edit > Preferences > File Handling…,編集 > 環境設定 > ファイル管理...,app.executeMenuCommand('FilePref');,"execute menu command menu command string ""FilePref""",app.executeMenuCommand({menuCommandString: 'FilePref'});,25,99.0
86,menuCommandString_536,ClipboardPref,Edit > Preferences > Clipboard Handling…,編集 > 環境設定 > クリップボードの処理...,app.executeMenuCommand('ClipboardPref');,"execute menu command menu command string ""ClipboardPref""",app.executeMenuCommand({menuCommandString: 'ClipboardPref'});,25.0,99.0
87,menuCommandString_73,BlackPref,Edit > Preferences > Appearance of Black…,編集 > 環境設定 > ブラックのアピアランス...,app.executeMenuCommand('BlackPref');,"execute menu command menu command string ""BlackPref""",app.executeMenuCommand({menuCommandString: 'BlackPref'});,16,99
88,menuCommandString_565,TouchPref,Edit > Preferences > Touch Workspace,編集 > 環境設定 > タッチワークスペース,app.executeMenuCommand('TouchPref');,"execute menu command menu command string ""TouchPref""",app.executeMenuCommand({menuCommandString: 'TouchPref'});,18.1,99.0
89,menuCommandString_532,DevicesPref,Edit > Preferences > Devices…,編集 > 環境設定 > デバイス...,app.executeMenuCommand('DevicesPref');,"execute menu command menu command string ""DevicesPref""",app.executeMenuCommand({menuCommandString: 'DevicesPref'});,24.0,99.0
90,menuCommandString_74,preference,Illustrator > Preferences > General…,Illustrator > 環境設定 > 一般...,app.executeMenuCommand('preference');,"execute menu command menu command string ""preference""",app.executeMenuCommand({menuCommandString: 'preference'});,16,99
91,menuCommandString_75,selectPref,Illustrator > Preferences > Selection & Anchor Display…,Illustrator > 環境設定 > 選択範囲・アンカー表示...,app.executeMenuCommand('selectPref');,"execute menu command menu command string ""selectPref""",app.executeMenuCommand({menuCommandString: 'selectPref'});,16,99
92,menuCommandString_76,keyboardPref,Illustrator > Preferences > Type…,Illustrator > 環境設定 > テキスト...,app.executeMenuCommand('keyboardPref');,"execute menu command menu command string ""keyboardPref""",app.executeMenuCommand({menuCommandString: 'keyboardPref'});,16,99
93,menuCommandString_77,unitundoPref,Illustrator > Preferences > Units…,Illustrator > 環境設定 > 単位...,app.executeMenuCommand('unitundoPref');,"execute menu command menu command string ""unitundoPref""",app.executeMenuCommand({menuCommandString: 'unitundoPref'});,16,99
94,menuCommandString_78,guidegridPref,Illustrator > Preferences > Guides & Grid…,Illustrator > 環境設定 > ガイド・グリッド...,app.executeMenuCommand('guidegridPref');,"execute menu command menu command string ""guidegridPref""",app.executeMenuCommand({menuCommandString: 'guidegridPref'});,16,99
95,menuCommandString_79,snapPref,Illustrator > Preferences > Smart Guides…,Illustrator > 環境設定 > スマートガイド...,app.executeMenuCommand('snapPref');,"execute menu command menu command string ""snapPref""",app.executeMenuCommand({menuCommandString: 'snapPref'});,16,99
96,menuCommandString_80,slicePref,Illustrator > Preferences > Slices…,Illustrator > 環境設定 > スライス...,app.executeMenuCommand('slicePref');,"execute menu command menu command string ""slicePref""",app.executeMenuCommand({menuCommandString: 'slicePref'});,16,99
97,menuCommandString_81,hyphenPref,Illustrator > Preferences > Hyphenation…,Illustrator > 環境設定 > ハイフネーション...,app.executeMenuCommand('hyphenPref');,"execute menu command menu command string ""hyphenPref""",app.executeMenuCommand({menuCommandString: 'hyphenPref'});,16,99
98,menuCommandString_82,pluginPref,Illustrator > Preferences > Plug-ins & Scratch Disks…,Illustrator > 環境設定 > プラグイン・仮想記憶ディスク...,app.executeMenuCommand('pluginPref');,"execute menu command menu command string ""pluginPref""",app.executeMenuCommand({menuCommandString: 'pluginPref'});,16,99
99,menuCommandString_83,UIPref,Illustrator > Preferences > User Interface…,Illustrator > 環境設定 > ユーザーインターフェイス...,app.executeMenuCommand('UIPref');,"execute menu command menu command string ""UIPref""",app.executeMenuCommand({menuCommandString: 'UIPref'});,16,99
100,menuCommandString_84,GPUPerformancePref,Illustrator > Preferences > Performance…,Illustrator > 環境設定 > パフォーマンス...,app.executeMenuCommand('GPUPerformancePref');,"execute menu command menu command string ""GPUPerformancePref""",app.executeMenuCommand({menuCommandString: 'GPUPerformancePref'});,19,99
101,menuCommandString_85,FileClipboardPref,Illustrator > Preferences > File Handling & Clipboard…,Illustrator > 環境設定 > ファイル管理・クリップボード...,app.executeMenuCommand('FileClipboardPref');,"execute menu command menu command string ""FileClipboardPref""",app.executeMenuCommand({menuCommandString: 'FileClipboardPref'});,16,24.9
102,menuCommandString_566,FilePref,Illustrator > Preferences > File Handling…,Illustrator > 環境設定 > ファイル管理...,app.executeMenuCommand('FilePref');,"execute menu command menu command string ""FilePref""",app.executeMenuCommand({menuCommandString: 'FilePref'});,25,99.0
103,menuCommandString_537,ClipboardPref,Illustrator > Preferences > Clipboard Handling…,Illustrator > 環境設定 > クリップボードの処理...,app.executeMenuCommand('ClipboardPref');,"execute menu command menu command string ""ClipboardPref""",app.executeMenuCommand({menuCommandString: 'ClipboardPref'});,25.0,99.0
104,menuCommandString_86,BlackPref,Illustrator > Preferences > Appearance of Black…,Illustrator > 環境設定 > ブラックのアピアランス...,app.executeMenuCommand('BlackPref');,"execute menu command menu command string ""BlackPref""",app.executeMenuCommand({menuCommandString: 'BlackPref'});,16,99
105,menuCommandString_533,DevicesPref,Illustrator > Preferences > Devices…,Illustrator > 環境設定 > デバイス...,app.executeMenuCommand('DevicesPref');,"execute menu command menu command string ""DevicesPref""",app.executeMenuCommand({menuCommandString: 'DevicesPref'});,24.0,99.0
106,menuCommandString_87,transformagain,Object > Transform > Transform Again,オブジェクト > 変形 > 変形の繰り返し,app.executeMenuCommand('transformagain');,"execute menu command menu command string ""transformagain""",app.executeMenuCommand({menuCommandString: 'transformagain'});,16,99
107,menuCommandString_88,transformmove,Object > Transform > Move…,オブジェクト > 変形 > 移動...,app.executeMenuCommand('transformmove');,"execute menu command menu command string ""transformmove""",app.executeMenuCommand({menuCommandString: 'transformmove'});,16,99
108,menuCommandString_89,transformrotate,Object > Transform > Rotate…,オブジェクト > 変形 > 回転...,app.executeMenuCommand('transformrotate');,"execute menu command menu command string ""transformrotate""",app.executeMenuCommand({menuCommandString: 'transformrotate'});,16,99
109,menuCommandString_90,transformreflect,Object > Transform > Reflect…,オブジェクト > 変形 > リフレクト...,app.executeMenuCommand('transformreflect');,"execute menu command menu command string ""transformreflect""",app.executeMenuCommand({menuCommandString: 'transformreflect'});,16,99
110,menuCommandString_91,transformscale,Object > Transform > Scale…,オブジェクト > 変形 > 拡大・縮小...,app.executeMenuCommand('transformscale');,"execute menu command menu command string ""transformscale""",app.executeMenuCommand({menuCommandString: 'transformscale'});,16,99
111,menuCommandString_92,transformshear,Object > Transform > Shear…,オブジェクト > 変形 > シアー...,app.executeMenuCommand('transformshear');,"execute menu command menu command string ""transformshear""",app.executeMenuCommand({menuCommandString: 'transformshear'});,16,99
112,menuCommandString_93,Transform v23,Object > Transform > Transform Each…,オブジェクト > 変形 > 個別に変形...,app.executeMenuCommand('Transform v23');,"execute menu command menu command string ""Transform v23""",app.executeMenuCommand({menuCommandString: 'Transform v23'});,16,99
113,menuCommandString_94,AI Reset Bounding Box,Object > Transform > Reset Bounding Box,オブジェクト > 変形 > バウンディングボックスのリセット,app.executeMenuCommand('AI Reset Bounding Box');,"execute menu command menu command string ""AI Reset Bounding Box""",app.executeMenuCommand({menuCommandString: 'AI Reset Bounding Box'});,16,99
114,menuCommandString_95,sendToFront,Object > Arrange > Bring to Front,オブジェクト > 重ね順 > 最前面へ,app.executeMenuCommand('sendToFront');,"execute menu command menu command string ""sendToFront""",app.executeMenuCommand({menuCommandString: 'sendToFront'});,16,99
115,menuCommandString_96,sendForward,Object > Arrange > Bring Forward,オブジェクト > 重ね順 > 前面へ,app.executeMenuCommand('sendForward');,"execute menu command menu command string ""sendForward""",app.executeMenuCommand({menuCommandString: 'sendForward'});,16,99
116,menuCommandString_97,sendBackward,Object > Arrange > Send Backward,オブジェクト > 重ね順 > 背面へ,app.executeMenuCommand('sendBackward');,"execute menu command menu command string ""sendBackward""",app.executeMenuCommand({menuCommandString: 'sendBackward'});,16,99
